Идентификатор УБИ,Наименование УБИ,Описание,Лемматизированное описание
39,"Угроза исчерпания запаса ключей, необходимых для обновления BIOS","Угроза заключается в возможности нарушения (невозможности осуществления) процедуры обновления BIOS/UEFI при исчерпании запаса необходимых для её проведения ключей._x000D_
Данная угроза обусловлена ограниченностью набора ключей, необходимых для обновления BIOS/UEFI._x000D_
Реализация данной угрозы возможна путём эксплуатации уязвимостей средств обновления набора ключей, или путём использования нарушителем программных средств перебора ключей","процедура исчерпание запас ключ ограниченность набор ключ обновление набор ключ программный средство перебор ключ
"
40,Угроза конфликта юрисдикций различных стран,"Угроза заключается в возможности отказа в трансграничной передаче защищаемой информации в рамках оказания облачных услуг в соответствии с требованиями локального законодательства стран, резиденты которых участвуют в оказании облачных услуг._x000D_
Данная угроза обусловлена тем, что в зависимости от особенностей законодательства различных стран, резиденты которых участвуют в оказании облачных услуг, при обеспечении информационной безопасности могут использоваться правовые меры различных юрисдикций._x000D_
Реализация данной угрозы возможна при условии того, что на обеспечение информационной безопасности в ходе оказания облачных услуг накладываются правовые меры различных юрисдикций, противоречащих друг другу в ряде вопросов","угроза заключаться возможность отказ трансграничный передача защищать информация рамка оказание облачный услуга соответствие требование локальный законодательство страна резидент который участвовать оказание облачный услуга дать угроза обусловить зависимость особенность законодательство различный страна резидент который участвовать оказание облачный услуга обеспечение информационный безопасность мочь использоваться правовой мера различный юрисдикция реализация дать угроза возможный условие обеспечение информационный безопасность ход оказание облачный услуга накладываться правовой мера различный юрисдикция противоречащий друг друг ряд вопрос
"
41,Угроза межсайтового скриптинга,"Угроза заключается в возможности внедрения нарушителем участков вредоносного кода на сайт дискредитируемой системы таким образом, что он будет выполнен на рабочей станции просматривающего этот сайт пользователя._x000D_
Данная угроза обусловлена слабостями механизма проверки безопасности при обработке запросов и данных, поступающих от веб-сайта._x000D_
Реализация угрозы возможна в случае, если клиентское программное обеспечение поддерживает выполнение сценариев, а нарушитель имеет возможность отправки запросов и данных в дискредитируемую систему","вредоносный код сайт сайт слабость механизм проверка безопасность обработка запрос данные поступать вебсайт клиентский программный обеспечение поддерживать выполнение сценарий отправка запрос данные 
"
42,Угроза межсайтовой подделки запроса,"Угроза заключается в возможности отправки нарушителем дискредитируемому пользователю ссылки на содержащий вредоносный код веб-ресурс, при переходе на который автоматически будут выполнены неправомерные вредоносные действия от имени дискредитированного пользователя._x000D_
Данная угроза обусловлена уязвимостями браузеров, которые позволяют выполнять действия без подтверждения или аутентификации со стороны дискредитируемого пользователя._x000D_
Реализация угрозы возможна в случае, если дискредитируемый пользователь сохраняет аутентификационную информацию с помощью браузера","ссылка содержать вредоносный код вебресурс переход который автоматически неправомерный вредоносный действие уязвимость браузер действие подтверждение аутентификация сохранять аутентификационный информация браузер
"
44,Угроза нарушения изоляции пользовательских данных внутри виртуальной машины,"Угроза заключается в возможности нарушения безопасности пользовательских данных программ, функционирующих внутри виртуальной машины, вредоносным программным обеспечением, функционирующим вне виртуальной машины._x000D_
Данная угроза обусловлена наличием уязвимостей программного обеспечения гипервизора, обеспечивающего изолированность адресного пространства, используемого для хранения пользовательских данных программ, функционирующих внутри виртуальной машины, от несанкционированного доступа со стороны вредоносного программного обеспечения, функционирующего вне виртуальной машины._x000D_
Реализация данной угрозы возможна при условии успешного преодоления вредоносным программным кодом границ виртуальной машины не только за счёт эксплуатации уязвимостей гипервизора, но и путём осуществления такого воздействия с более низких (по отношению к гипервизору) уровней функционирования системы","виртуальный машина вредоносный программа нарушение изоляция данные виртуальный вредоносный код граница
"
45,Угроза нарушения изоляции среды исполнения BIOS,"Угроза заключается в возможности изменения параметров и (или) логики работы программного обеспечения BIOS/UEFI путём программного воздействия из операционной системы компьютера или путём несанкционированного доступа к каналу сетевого взаимодействия серверного сервис-процессора._x000D_
Данная угроза обусловлена слабостями технологий разграничения доступа к BIOS/UEFI, его функциям администрирования и обновления, со стороны операционной системы или каналов связи._x000D_
Реализация данной угрозы возможна:_x000D_
со стороны операционной системы – при условии наличия BIOS/UEFI функционала обновления и (или) управления программным обеспечением BIOS/UEFI из операционной системы;_x000D_
со стороны сети – при условии наличия у дискредитируемого серверного сервис-процессора достаточных привилегий для управления всей системой, включая модификацию BIOS/UEFI серверов системы, и дискредитируемого сервера","операционный система компьютер канал сетевой взаимодействие серверный сервис процессор разграничение доступ функция администрирование обновление сторона операционный система канал связь реализация привилегия управление система включая модификация сервер система дискредитировать сервер
"
46,Угроза нарушения процедуры аутентификации субъектов виртуального информационного взаимодействия,"Угроза заключается в возможности подмены субъекта виртуального информационного взаимодействия, а также в возможности возникновения состояния неспособности осуществления такого взаимодействия._x000D_
Данная угроза обусловлена наличием множества различных протоколов взаимной идентификации и аутентификации виртуальных, виртуализованных и физических субъектов доступа, взаимодействующих между собой в ходе передачи данных как внутри одного уровня виртуальной инфраструктуры, так и между её уровнями._x000D_
Реализация данной угрозы возможна в случае возникновения ошибок при проведении аутентификации субъектов виртуального информационного взаимодействия","подмена субъект виртуальный информационный состояние неспособность осуществление такой взаимодействие протокол взаимный идентификация аутентификация виртуальный виртуализовать физический субъект доступ взаимодействовать передача данные внутри один уровень виртуальный инфраструктура возникновение ошибка проведение аутентификация
"
47,Угроза нарушения работоспособности грид-системы при нетипичной сетевой нагрузке,"Угроза заключается в возможности значительного снижения производительности грид-системы, вплоть до временного нарушения её работоспособности при появлении нетипичной сетевой нагрузки (в т.ч. вызванной распределённой DoS-атакой, активностью других пользователей в сети и др.)._x000D_
Данная угроза обусловлена слабостью технологий грид-вычислений – производительность грид-системы имеет сильную зависимость от загруженности каналов связи, что является следствием максимальной территориальной распределённости вычислительного модуля грид-системы среди всех типов информационных систем._x000D_
Реализация данной угрозы возможна при условии недостаточного контроля за состоянием отдельных узлов грид-системы со стороны диспетчера задач грид-системы","снижение производительность гридсистема нарушение работоспособность нетипичный сетевой нагрузка слабость технология гридвычисление производительность гридсистема загруженность канал связь максимальный территориальный распределённость вычислительный модуль гридсистема среди тип информационный система реализация дать угроза возможный условие недостаточный контроль состояние 
"
48,Угроза нарушения технологии обработки информации путём несанкционированного внесения изменений в образы виртуальных машин,"Угроза заключается в возможности осуществления деструктивного программного воздействия на дискредитируемую систему или опосредованного деструктивного программного воздействия через неё на другие системы путём осуществления несанкционированного доступа к образам виртуальных машин._x000D_
Данная угроза обусловлена слабостями мер разграничения доступа к образам виртуальных машин, реализованных в программном обеспечении виртуализации._x000D_
Реализация данной угрозы может привести:_x000D_
к нарушению конфиденциальности защищаемой информации, обрабатываемой с помощью виртуальных машин, созданных на основе несанкционированно изменённых образов;_x000D_
к нарушению целостности программ, установленных на виртуальных машинах;_x000D_
к нарушению доступности ресурсов виртуальных машин;_x000D_
к созданию ботнета путём внедрения вредоносного программного обеспечения в образы виртуальных машин, используемые в качестве шаблонов (эталонные образы)","образ виртуальный машина слабость мера разграничение доступ образ виртуальный машина программный обеспечение виртуализация реализация нарушение конфиденциальность несанкционированный изменить образ нарушение целостность программа установленный виртуальный машина нарушение доступность ресурс виртуальный машина создание ботнет путём внедрение вредоносный программный обеспечение образ виртуальный машина использовать качество шаблон эталонный образ
"
49,Угроза нарушения целостности данных кеша,"Угроза заключается в возможности размещения нарушителем в кеше приложения (например, браузера) или службы (например, DNS или ARP) некорректных (потенциально опасных) данных таким образом, что до обновления кеша дискредитируемое приложение (или служба) будет считать эти данные корректными. _x000D_
Данная угроза обусловлена слабостями в механизме контроля целостности данных в кеше._x000D_
Реализация данной угрозы возможна в условиях осуществления нарушителем успешного несанкционированного доступа к данным кеша и отсутствии проверки целостности данных в кеше со стороны дискредитируемого приложения (или службы)","кеш браузер служба данные такой образ обновление кеш корректный дать угроза обусловить слабость механизм контроль целостность данные кеш реализация несанкционированный доступ данные кеш отсутствие проверка целостность данные кеш
"
50,"Угроза неверного определения формата входных данных, поступающих в хранилище больших данных","Угроза заключается в возможности искажения информации, сохраняемой в хранилище больших данных, или отказа в проведении сохранения при передаче в него данных в некоторых форматах._x000D_
Данная угроза обусловлена слабостями технологий определения формата входных данных на основе дополнительной служебной информации (заголовки файлов и сетевых пакетов, расширения файлов и т.п.), а также технологий адаптивного выбора и применения методов обработки мультиформатной информации в хранилищах больших данных._x000D_
Реализация данной угрозы возможна при условии, что дополнительная служебная информация о данных по какой-либо причине не соответствует их фактическому содержимому, или в хранилище больших данных не реализованы методы обработки данных получаемого формата","искажение информация хранилище больший данные отказ проведение передача данные формат определение формат заголовок файл сетевой пакет расширение файл обработка мультиформатный информация хранилище больший данные обработка метод данные получаемый формат
"
51,Угроза невозможности восстановления сессии работы на ПЭВМ при выводе из промежуточных состояний питания,"Угроза заключается в возможности потери несохранённых данных, обрабатываемых в предыдущей сессии работы на компьютере, а также в возможности потери времени для возобновления работы на компьютере._x000D_
Данная угроза обусловлена ошибками в реализации программно-аппаратных компонентов компьютера, связанных с обеспечением питания._x000D_
Реализация данной угрозы возможна при условии невозможности выведения компьютера из промежуточных состояний питания («ждущего режима работы», «гибернации» и др.)","потеря несохранённый данные предыдущий сессия работа компьютер потеря время возобновление работа компьютер программноаппаратный компонент питание реализация дать угроза возможный условие невозможность выведение компьютер промежуточный состояние питание ждать режим работа гибернация
"
52,Угроза невозможности миграции образов виртуальных машин из-за несовместимости аппаратного и программного обеспечения,"Угроза заключается в возможности возникновения у потребителя облачных услуг непреодолимых сложностей для смены поставщика облачных услуг из-за технических сложностей в реализации процедуры миграции образов виртуальных машин из облачной системы одного поставщика облачных услуг в систему другого._x000D_
Данная угроза обусловлена тем, что каждый поставщик облачных услуг использует для реализации своей деятельности аппаратное и программное обеспечение различных производителей, часть которого может использовать специфические (для данного производителя) инструкции, протоколы, методы, схемы коммутации и другие особенности реализации своего функционала._x000D_
Реализация данной угрозы возможна в случае несовместимости стандартных программных интерфейсов обмена данными (API) для реализации процедуры миграции образов виртуальных машин между различными поставщиками облачных услуг в одном или обоих направлениях._x000D_
Также данная угроза обуславливает ограничение возможности смены производителей аппаратного и программного обеспечения поставщиком облачных услуг, что может привести к нарушению целостности и доступности информации по вине поставщика облачных услуг","облачный услуга непреодолимый сложность смена поставщик облачный услуга миграция образ виртуальный машина облачный система система специфический данный производитель инструкция протокол метод схема коммутация несовместимость стандартный программный интерфейс обмен данные реализация процедура миграция образ виртуальный машина нарушение целостность доступность информация вина поставщик облачный услуга
"
53,Угроза невозможности управления правами пользователей BIOS,"Угроза заключается в возможности неправомерного использования пользователями декларированного функционала BIOS/UEFI, ориентированного на администраторов._x000D_
Данная угроза обусловлена слабостями технологий разграничения доступа (распределения прав) к функционалу BIOS/UEFI между различными пользователями и администраторами._x000D_
Реализация данной угрозы возможна при условии физического доступа к терминалу и, при необходимости, к системному блоку компьютера","слабость технология разграничение доступ распределение право функционал различный пользователь администратор физический доступ терминал необходимость системный блок компьютер
"
54,Угроза недобросовестного исполнения обязательств поставщиками облачных услуг,"Угроза заключается в возможности раскрытия или повреждения целостности поставщиком облачных услуг защищаемой информации потребителей облачных услуг, невыполнения требований к уровню качества (уровню доступности) предоставляемых потребителям облачных услуг доступа к их программам или иммигрированным в облако информационным системам._x000D_
Данная угроза обусловлена невозможностью непосредственного контроля над действиями сотрудников поставщика облачных услуг со стороны их потребителей._x000D_
Реализация данной угрозы возможна в случаях халатности со стороны сотрудников поставщика облачных услуг, недостаточности должностных и иных инструкций данных сотрудников, недостаточности мер по менеджменту и обеспечению безопасности облачных услуг и т.д.","облачный услуга невыполнение требование уровень качество уровень доступность предоставлять потребитель облачный услуга доступ программа иммигрировать облако информационный система контроль действие сотрудник поставщик облачный услуга сторона потребитель реализация недостаточность должностной менеджмент обеспечение безопасность облачный услуга
"
55,Угроза незащищённого администрирования облачных услуг,"Угроза заключается в возможности осуществления опосредованного деструктивного программного воздействия на часть или все информационные системы, функционирующие в облачной среде, путём перехвата управления над облачной инфраструктурой через механизмы удалённого администрирования._x000D_
Данная угроза обусловлена недостаточностью внимания, уделяемого контролю вводимых пользователями облачных услуг данных (в том числе аутентификационных данных), а также уязвимостями небезопасных интерфейсов обмена данными (API), используемых средствами удалённого администрирования._x000D_
Реализация данной угрозы возможна в случае получения нарушителем аутентификационной информации (при их вводе в общественных местах) легальных пользователей, или эксплуатации уязвимостей в средствах удалённого администрирования","перехват управление облачный сервис услугаинфраструктура недостаточность контроль вводимый данные аутентификация данные администрирование облачный услуг
"
56,Угроза некачественного переноса инфраструктуры в облако,"Угроза заключается в возможности снижения реального уровня защищённости иммигрирующей в облако информационной системы из-за ошибок, допущенных при миграции в ходе преобразования её реальной инфраструктуры в облачную._x000D_
Данная угроза обусловлена тем, что преобразование даже части инфраструктуры информационной системы в облачную зачастую требует проведения серьёзных изменений в такой инфраструктуре (например, в политиках безопасности и организации сетевого обмена данными)._x000D_
Реализация данной угрозы возможна в случае несовместимости программных и сетевых интерфейсов или несоответствий политик безопасности при осуществлении переноса информационной системы в облако","снижение реальный уровень защищённость иммигрировать облако информационный система миграция ход преобразование её реальный инфраструктура перенос информационный система облако
"
57,Угроза неконтролируемого копирования данных внутри хранилища больших данных,"Угроза заключается в сложности контроля за всеми автоматически создаваемыми копиями информации в хранилище больших данных из-за временной несогласованности данных операций._x000D_
Данная угроза обусловлена осуществлением дублирования (дву- или многократного) данных на различных вычислительных узлах, входящих в состав хранилища больших данных, с целью повышения скорости доступа к этим данным при большом количестве запросов чтения/записи. При этом данная операция является внутренней функцией и «непрозрачна» для конечных пользователей и администраторов хранилища больших данных._x000D_
Реализация данной угрозы возможна при условии недостаточности мер по контролю за автоматически создаваемыми копиями информации, применяемых в хранилище больших данных","контроль копия информация хранилище больший данные несогласованность данные операция дать угроза обусловить осуществление дублирование многократный данные различный вычислительный узел входящий состав хранилище больший данные цель повышение скорость запрос чтения запись недостаточность мера контроль автоматически создавать копия информация применять хранилище больший данные
"
58,Угроза неконтролируемого роста числа виртуальных машин,"Угроза заключается в возможности ограничения или нарушения доступности виртуальных ресурсов для конечных потребителей облачных услуг путём случайного или несанкционированного преднамеренного создания нарушителем множества виртуальных машин._x000D_
Данная угроза обусловлена ограниченностью объёма дискового пространства, выделенного под виртуальную инфраструктуру, и слабостями технологий контроля процесса создания виртуальных машин._x000D_
Реализация данной угрозы возможна при условии наличия у нарушителя прав на создание виртуальных машин в облачной инфраструктуре","доступность виртуальный ресурс конечный потребитель облачный услуга множество виртуальный машина объём дисковый пространство выделить виртуальный инфраструктура слабость технология контроль процесс создание виртуальный машина право создание виртуальный машина облачный инфраструктура
"
59,Угроза неконтролируемого роста числа зарезервированных вычислительных ресурсов,"Угроза заключается в возможности отказа легальным пользователям в выделении компьютерных ресурсов после осуществления нарушителем неправомерного резервирования всех свободных компьютерных ресурсов (вычислительных ресурсов и ресурсов памяти)._x000D_
Данная угроза обусловлена уязвимостями программного обеспечения уровня управления виртуальной инфраструктурой, реализующего функцию распределения компьютерных ресурсов между пользователями._x000D_
Реализация данной угрозы возможна при условии успешного осуществления нарушителем несанкционированного доступа к программному обеспечению уровня управления виртуальной инфраструктурой, реализующему функцию распределения компьютерных ресурсов между пользователями","отказ выделение свободный ресурс резервирование управление виртуальный инфраструктура распределение компьютерный ресурс
"
60,Угроза неконтролируемого уничтожения информации хранилищем больших данных,"Угроза заключается в возможности удаления из хранилища некоторых обрабатываемых данных без уведомления конечного пользователя или администратора._x000D_
Данная угроза обусловлена слабостями механизма автоматического удаления данных, не отвечающих определённым требованиям (предельный «срок жизни» в хранилище, конечная несогласованность с другими данными, создание копии в другом месте и т.п.)._x000D_
Реализация данной угрозы возможна при условии недостаточности реализованных в хранилище больших данных мер по контролю за автоматическим удалением данных","удаление хранилище данные уведомление слабость механизм автоматический удаление данные предельный срок жизнь создание копия реализация дать угроза возможный условие недостаточность реализовать хранилище больший данные мера контроль автоматический удаление данные
"
61,Угроза некорректного задания структуры данных транзакции,"Угроза заключается в возможности совершения нарушителем (клиентом базы данных) подлога путём прерывания транзакции или подмены идентификатора транзакции. В первом случае происходит неполное выполнение транзакции, а во втором – пользователь форсированно завершает транзакцию, изменяя её ID, и сообщая о том, что транзакция не была проведена, тем самым провоцируя повторное проведение транзакции._x000D_
Данная угроза обусловлена слабостями механизма контроля непрерывности транзакций и целостности данных, передаваемых в ходе транзакции между базой данных и её клиентом","совершение нарушитель клиент база данные подлог прерывание транзакция подмена идентификатор транзакция транзакция второй завершать транзакция изменять повторный проведение транзакция дать угроза обусловить слабость механизм контроль непрерывность транзакция целостность данные передаваемый ход транзакция база
"
62,Угроза некорректного использования прозрачного прокси-сервера за счёт плагинов браузера,"Угроза заключается в возможности перенаправления или копирования обрабатываемых браузером данных через прозрачный прокси-сервер, подключённый к браузеру в качестве плагина._x000D_
Данная угроза обусловлена слабостями механизма контроля доступа к настройкам браузера._x000D_
Реализация возможна в случае успешного осуществления нарушителем включения режима использования прозрачного прокси-сервера в параметрах настройки браузера, например, в результате реализации угрозы межсайтового скриптинга","перенаправление копирование обрабатывать браузер данные прозрачный проксисервер подключить браузер качество плагин слабость механизм контроль доступ настройка браузер реализация возможный случай успешный осуществление нарушитель включение режим использование прозрачный проксисервер параметр настройка браузер например результат реализация угроза межсайтовый скриптинг
"
63,Угроза некорректного использования функционала программного и аппаратного обеспечения,"Угроза заключается в возможности использования декларированных возможностей программных и аппаратных средств определённым (нестандартным, некорректным) способом с целью деструктивного воздействия на информационную систему и обрабатываемую ею информацию._x000D_
Данная угроза связана со слабостями механизма обработки данных и команд, вводимых пользователями._x000D_
Реализация данной угрозы возможна в случае наличия у нарушителя доступа к программным и аппаратным средствам","использование декларировать возможность программный аппаратный средство определённый нестандартный некорректный способ обрабатывать слабость механизм обработка данные команда вводить пользователь реализация дать угроза возможный случай наличие нарушитель доступ программный аппаратный средство
"
